obec,strana,pocet
513041,513041,10
513041,13,0
513041,513041,16
571601,571601,31
571601,18,0
571601,571601,6
571601,571601,2
571601,571601,27
571601,571601,7
571601,571601,10
571601,571601,1
571601,571601,50
571601,571601,2
571601,13,0
571601,571601,6
532584,532584,19
532584,532584,3
532584,532584,11
532584,532584,10
532584,532584,92
532584,532584,45
532584,532584,6
532584,532584,2
532584,532584,79
532584,532584,12
532584,13,0
532584,532584,29
535095,535095,2
535095,535095,1
535095,535095,6
535095,04,0
535095,535095,24
535095,535095,11
535095,535095,2
535095,06,0
535095,535095,26
535095,02,0
535095,13,0
535095,11,0
532631,532631,8
532631,532631,1
532631,532631,5
532631,532631,2
532631,532631,74
532631,532631,16
532631,532631,3
532631,532631,2
532631,532631,40
532631,532631,4
532631,13,0
532631,532631,18
532657,532657,9
532657,532657,4
532657,532657,11
532657,532657,2
532657,532657,46
532657,532657,52
532657,532657,8
532657,06,0
532657,532657,73
532657,532657,5
532657,13,0
532657,532657,8
532665,532665,8
532665,532665,6
532665,532665,11
532665,532665,1
532665,532665,30
532665,532665,42
532665,532665,17
532665,532665,2
532665,532665,55
532665,532665,2
532665,13,0
532665,532665,6
532681,532681,20
532681,532681,9
532681,532681,13
532681,532681,4
532681,532681,134
532681,532681,80
532681,532681,19
532681,06,0
532681,532681,126
532681,532681,1
532681,532681,1
532681,532681,18
532711,532711,3
532711,532711,2
532711,532711,7
532711,04,0
532711,532711,19
532711,532711,13
532711,532711,5
532711,06,0
532711,532711,12
532711,532711,1
532711,13,0
532711,532711,3
532738,532738,12
532738,532738,10
532738,532738,11
532738,532738,3
