513636,63,44,,4,7,,7,,,,,14,,1,,1,,21,5,,37,47,,2,2
513644,59,17,2,2,25,2,19,,,1,,4,,,,,,3,,,40,11,,7
513661,133,51,1,1,12,2,17,,,2,2,20,,,,1,,12,2,,34,28,,5
513695,31,5,8,,4,1,10,,,,,10,,,,1,,9,1,,21,9,,2
513709,34,20,3,2,5,,5,,,,1,10,,,,,,6,,,8,12,,4
513717,96,35,9,3,14,,8,,,,,5,,,,3,,17,2,,46,42,,1
513733,72,33,,2,4,,7,,,,2,26,,,,2,,13,3,,34,23
513750,6571,1726,149,242,737,19,599,,,30,17,653,,24,,127,,892,83,,1625,1471,2,229,28
513768,462,146,21,22,45,1,39,,,3,1,226,,3,,15,,44,3,,203,116,,15,6
513873,120,36,1,9,16,,12,,,,2,60,,,,2,,20,1,,63,36,1,6,1
513890,54,10,3,4,7,,2,,,,2,,,,,7,,7,,,22,22,,3
514047,60,28,1,4,7,,8,,,,,12,,,,2,,14,1,,41,30,,3
514055,2572,549,49,52,120,1,180,,,20,2,183,,8,,38,,190,54,,457,478,10,56,1
514152,338,94,7,16,16,1,30,,,2,2,73,,3,,5,,52,7,,124,99,,3,1
514161,39,5,,1,4,2,3,,,,1,,,1,,,,5,,,11,9,,1
514195,40,11,1,1,4,,3,,,1,2,,,,,,,6,,,11,16
514276,149,13,2,2,8,1,8,,,2,2,,,,,3,,10,1,,36,68,,2
514446,64,33,1,1,6,2,4,,,2,,2,,,,4,,18,1,,12,23,,2
514471,158,58,10,5,13,1,12,,,1,1,12,,1,,2,,21,2,,96,53,,4,2
514497,108,42,1,4,4,,7,,,,,13,,1,,2,,24,,,47,27,,2
514527,14,4,1,,7,,1,,,,,,,,,1,,1,1,,3,6,,1,1
514705,2952,850,60,55,208,13,218,,,16,4,299,,17,,63,,437,41,,756,603,4,75,15
514772,79,21,4,,4,,8,,,,1,20,,,,,,21,,,32,38,,1,1
514802,79,34,5,2,5,,9,,,2,1,9,,2,,4,,11,,,18,13,,1
515191,291,59,4,6,19,,9,,,1,,17,,1,,14,,31,3,,62,66,,5
515329,102,21,4,6,12,1,3,,,,,46,,2,,4,,22,,,37,36,,2
515418,145,38,1,4,18,,11,,,,1,13,,,,12,,20,,,23,44,,3
515477,56,26,2,4,14,,9,,,,,15,,,,,,12,,,39,29,1,2
515787,69,17,,2,,,3,,,,1,7,,,,3,,11,2,,24,18,,1
515825,36,16,,,1,1,1,,,,,7,,,,2,,5,,,17,12,,,1
516201,267,61,4,11,23,3,38,,,1,3,40,,4,,9,,44,5,,71,55,,5,1
516350,27,4,1,1,,,4,,,,,8,,,,,,7,,,13,9,,5
516619,388,113,8,11,46,1,28,,,1,1,58,,2,,14,,58,3,,139,79,,15,2
516635,136,42,1,3,10,,9,,,2,,33,,1,,4,,20,1,,33,24,,4,3
516686,168,35,2,4,15,2,14,,,1,,35,,,,13,,32,2,,39,38,,3,3
516694,238,71,7,6,24,,16,,,3,,54,,1,,10,,27,2,,64,75,,4
516864,66,21,,1,3,,16,,,,,10,,1,,4,,18,1,,18,18,,2
516899,182,53,4,2,15,1,17,,,,,9,,,,2,,22,,,40,61,,1,1
516911,108,16,,1,3,,1,,,,1,2,,,,5,,17,,,27,26,,1
517101,478,115,7,11,35,1,18,,,1,1,32,,3,,13,,55,4,,93,113,1,9,3
517151,237,115,14,8,15,3,19,,,,,51,,2,,11,,48,3,,93,89,,2
517208,39,16,,,3,1,1,,,,,19,,,,1,,4,,,18,20,,,2
517224,91,19,4,5,5,,8,,,,,13,,,,1,,8,2,,29,25,,1
517275,34,19,,,5,,,,,,2,8,,1,,2,,10,,,15,19,,1
517321,29,24,3,2,2,,7,,,1,,16,,,,4,,10,,,18,27,,2
517437,36,23,1,1,3,,2,,,,1,13,,,,2,,4,,,21,26,,1
517445,37,18,3,2,2,,4,,,1,,19,,,,1,,4,1,,25,13,,4
517534,346,98,6,12,31,1,24,,,1,,65,,,,8,,57,4,,158,79,,14
517569,91,33,2,1,7,1,8,,,3,,6,,2,,,,8,3,,41,27,,1,2
517585,125,37,1,5,16,,11,,,,1,20,,2,,1,,27,2,,22,41,1,3
517607,386,120,11,13,29,4,12,,,,2,109,,6,,14,,70,3,,172,140,,10
517615,51,24,,4,17,2,7,,,,,27,,,,3,,24,2,,25,18,,2,5
517666,164,53,2,2,14,7,6,,,,1,26,,,,1,,24,2,,44,41,,2
517747,207,47,2,4,20,,19,,,,,38,,,,,,19,2,,56,30,,2,3
517836,30,22,3,1,2,,1,,,,1,4,,1,,5,,10,2,,29,18,,1
517844,173,71,6,2,11,1,4,,,,,42,,3,,3,,31,,,59,75,,2
517887,222,43,5,7,9,1,7,,,,,27,,,,6,,30,3,,66,49,1,5
517909,247,50,5,15,40,3,24,,,1,3,80,,4,,6,,39,5,,84,63,,9
518026,79,45,4,3,6,2,,,,,,23,,1,,3,,16,2,,55,29,,7
519031,97,47,4,1,35,,18,,,,2,24,,,,6,,15,1,,74,40,,4,1
519146,847,297,25,29,62,4,78,,,3,7,90,,1,,14,,103,7,,205,252,2,17,2
519651,576,283,15,27,109,3,35,,,7,5,109,,1,,18,,88,14,,238,150,,11
520047,117,51,4,2,13,,16,,,,2,20,,,,7,,20,2,,71,34,,2
520306,143,43,5,10,14,,12,,,,2,76,,1,,2,,26,3,,50,32,,3,1
520420,310,72,13,13,25,1,29,,,1,1,36,,,,3,,49,1,,87,72,1,3,1
521531,261,86,1,10,20,,27,,,,1,61,,2,,1,,75,2,,105,72,,5
522775,68,19,1,,9,,3,,,,,31,,1,,2,,11,,,14,22,,1
523453,67,14,1,3,1,,2,,,,2,12,,1,,1,,12,,,42,17,,,1
523640,135,84,8,4,9,,19,,,,,18,,2,,3,,28,5,,75,58,1,4
